file_name,image_urls,images,sku,title
,https://m.media-amazon.com/images/I/91Am-k2Zu1L._AC_UL436_.jpg,"[{'url': 'https://m.media-amazon.com/images/I/91Am-k2Zu1L._AC_UL436_.jpg', 'path': '883929190188.jpg', 'checksum': 'e703fbdebaa4bb5767d8dbe43379d154'}]",883929190188,Harry Potter and the Sorcerer's Stone
,https://m.media-amazon.com/images/I/61M7y6rhZxL._AC_UL436_.jpg,"[{'url': 'https://m.media-amazon.com/images/I/61M7y6rhZxL._AC_UL436_.jpg', 'path': '786936846713.jpg', 'checksum': '3c711e4358f036293640c928d39064c1'}]",786936846713,Marvel's Avengers: Age of Ultron [Blu-ray] (Bilingual)
